"","Rank_1","Rank_2","Rank_3","Rank_4","Rank_5","Rank_6","Rank_7","Rank_8"
"OTU_40530","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40534","Root","Eukaryota","Porifera","Demospongiae","Tetractinellida","Thoosidae","Thoosa","unclassified_Thoosa"
"OTU_40536","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4054","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40545","Root","Eukaryota","Porifera","Demospongiae","Tetractinellida","Thoosidae","Thoosa","Thoosa purpurea"
"OTU_40546","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40551","Root","Eukaryota","Porifera","Demospongiae","Tetractinellida","Thoosidae","Thoosa","unclassified_Thoosa"
"OTU_4056","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4057","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40571","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40575","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40577","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4058","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40589","Root","Eukaryota","Porifera","Demospongiae","Poecilosclerida","Acarnidae","Acarnus",NA
"OTU_40598","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40602","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40607","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4062","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40630","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4064","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4065","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40651","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40654","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40662","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40663","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
